,Team,Rating
51,Barcelona,3754.7716685365035
1,Bayern Munich,3668.435390271835
49,Real Madrid,3646.131962133384
48,Paris SG,3311.6069111917495
57,Man City,3281.296976856383
89,Juventus,2955.281899749146
42,Liverpool,2856.2449284187755
79,Inter,2700.956251093673
20,Arsenal,2617.6241772715803
82,Napoli,2584.150897335977
45,Chelsea,2570.2155723156734
77,Ath Madrid,2446.7061498790986
50,Dortmund,2435.078961205531
86,Man United,2389.274418829423
97,Roma,2237.751448340904
95,Milan,2189.0954431924256
4,Lyon,2187.3646519183712
7,Leverkusen,2090.7624971730984
24,Marseille,1971.8918363533264
73,Tottenham,1921.6399700895622
47,Monaco,1911.2310686393514
13,Lille,1867.492875167171
130,RB Leipzig,1846.9064777969718
80,Lazio,1846.6084108344826
71,Villarreal,1593.7709230833516
90,Atalanta,1568.8335985196777
43,Sevilla,1494.9540089393895
6,Rennes,1467.0105194413895
87,Fiorentina,1449.6150771147245
168,Como,1446.4782856584684
195,Blackpool,1428.4106633131912
177,Hansa Rostock,1420.342069530537
178,Duisburg,1417.4577227246614
196,Hercules,1414.1393640636682
117,Ajaccio GFCO,1409.0961023882508
191,Tenerife,1408.22932565518
122,Carpi,1408.1834638851224
192,Xerez,1402.7073350618464
188,Numancia,1401.0621315687529
176,Karlsruhe,1387.9758473156487
182,Murcia,1387.0723021669548
197,Novara,1386.4235028062105
189,Boulogne,1386.3384579749777
11,Braunschweig,1386.329338414865
36,Sociedad,1383.121215129102
152,Brentford,1380.2054613937382
25,Wolfsburg,1374.7084738062158
164,Luton,1364.910590438819
194,Kaiserslautern,1357.5843360866882
190,Bari,1355.675691076671
181,Recreativo,1354.3404483514691
119,Ingolstadt,1351.8285991239725
169,Le Mans,1346.7307666908287
159,Nott'm Forest,1343.0984034119026
161,Cremonese,1342.4773659346586
184,Reggina,1340.4254378067649
179,Cottbus,1339.1951321467839
167,Holstein Kiel,1337.908161435428
193,Arles,1336.9664569790768
173,Portsmouth,1335.537170514374
107,Cordoba,1331.0467296457828
3,Bordeaux,1329.3865973258094
187,Grenoble,1328.55158593422
21,Nice,1327.8998216022062
144,Union Berlin,1326.3836852991765
175,Birmingham,1323.6767745813652
166,St Pauli,1323.6106248277024
101,Lens,1321.9074954951707
163,Heidenheim,1307.1151488661424
